Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [0][8000/11269]	Loss 1.5124 (1.8281)	Prec 0.3894
Epoch: [0][8100/11269]	Loss 1.6252 (1.8260)	Prec 0.4036
Epoch: [0][8200/11269]	Loss 1.4290 (1.8244)	Prec 0.3920
Epoch: [0][8300/11269]	Loss 1.6027 (1.8229)	Prec 0.3855
Epoch: [0][8400/11269]	Loss 1.7757 (1.8210)	Prec 0.3964
Epoch: [0][8500/11269]	Loss 1.7307 (1.8194)	Prec 0.3942
Epoch: [0][8600/11269]	Loss 1.6521 (1.8181)	Prec 0.3886
Epoch: [0][8700/11269]	Loss 1.5047 (1.8165)	Prec 0.3923
Epoch: [0][8800/11269]	Loss 1.7936 (1.8147)	Prec 0.3967
Epoch: [0][8900/11269]	Loss 1.4410 (1.8131)	Prec 0.4017
Epoch: [0][9000/11269]	Loss 1.5658 (1.8115)	Prec 0.3992
Epoch: [0][9100/11269]	Loss 1.6201 (1.8100)	Prec 0.3952
Epoch: [0][9200/11269]	Loss 1.9151 (1.8088)	Prec 0.3956
Epoch: [0][9300/11269]	Loss 1.7254 (1.8074)	Prec 0.4039
Epoch: [0][9400/11269]	Loss 1.7392 (1.8063)	Prec 0.4017
Epoch: [0][9500/11269]	Loss 1.6671 (1.8049)	Prec 0.4153
Epoch: [0][9600/11269]	Loss 1.8669 (1.8037)	Prec 0.3936
Epoch: [0][9700/11269]	Loss 1.9953 (1.8026)	Prec 0.4048
Epoch: [0][9800/11269]	Loss 1.7068 (1.8014)	Prec 0.4037
Epoch: [0][9900/11269]	Loss 1.6641 (1.8009)	Prec 0.3900
Epoch: [0][10000/11269]	Loss 1.8736 (1.8000)	Prec 0.4022
Epoch: [0][10100/11269]	Loss 1.7347 (1.7990)	Prec 0.4036
Epoch: [0][10200/11269]	Loss 1.8251 (1.7978)	Prec 0.4012
Epoch: [0][10300/11269]	Loss 1.6262 (1.7963)	Prec 0.4097
Epoch: [0][10400/11269]	Loss 1.6147 (1.7949)	Prec 0.3948
Epoch: [0][10500/11269]	Loss 1.7107 (1.7935)	Prec 0.4037
Epoch: [0][10600/11269]	Loss 1.6230 (1.7924)	Prec 0.3942
Epoch: [0][10700/11269]	Loss 1.6142 (1.7912)	Prec 0.3998
Epoch: [0][10800/11269]	Loss 1.6321 (1.7900)	Prec 0.3977
Epoch: [0][10900/11269]	Loss 1.6192 (1.7888)	Prec 0.3978
Epoch: [0][11000/11269]	Loss 1.5013 (1.7877)	Prec 0.3944
Epoch: [0][11100/11269]	Loss 1.4375 (1.7863)	Prec 0.4041
Epoch: [0][11200/11269]	Loss 1.7249 (1.7851)	Prec 0.4017
Epoch: [0][100/566]	Loss 1.4409 (1.5905)	Prec 0.4270
Epoch: [0][200/566]	Loss 1.6993 (1.5903)	Prec 0.4328
Epoch: [0][300/566]	Loss 1.8331 (1.5975)	Prec 0.4333
Epoch: [0][400/566]	Loss 1.7059 (1.6076)	Prec 0.4173
Epoch: [0][500/566]	Loss 1.6130 (1.6093)	Prec 0.4266
Epoch: [0]	Loss 1.6064	Prec 0.4284
0.0001
Epoch: [1][100/11269]	Loss 1.5187 (1.5700)	Prec 0.4628
Epoch: [1][200/11269]	Loss 1.6092 (1.5929)	Prec 0.4627
